Title,Description,Location,Min Education,Min Experience
"Reporting and BI Specialist, CRM Operations","The Role: Reporting and BI Specialist, CRM OperationsGrade: 09 (for internal candidate reference only)The Location: Islamabad, PakistanAdditional Locations: Manilla, Philippines, Ahmedabad, IndiaShift: The shift timing is 02:00 PM to 11:00 PM IST. This may change as per the business requirements.The Team: We are a global team with presence in India, Pakistan, and Philippines. We are Lead-to-Cash subject matter experts and provide real-time support to our front-line commercial roles in collaboration with OTC teams. Our work directly impacts client buying experience as well as achievement of Sales quotas. We enable relationship managers and sales reps, allowing them to spend more time on client-facing revenue generating activities. The team plays a vital role in month/quarter/year-end close and to ensure timely ACV recognition and accurate reporting. Our internal stakeholders include Sales, Relationship Management, Sales Analytics, Order Management and Finance teams.The Impact: The Reporting and Analytics Analyst will work closely with the CRM Operations leadership and stakeholders to produce reporting and the dashboard on the key performance indicators of a high performing CRM Operations organization and supports the CRM Operations Leadership to drive improvement in the workflow through the analytics. The Analyst is expected to understand the CRM Operations KPIs, datasets, workflow, and data connections within the CRM ecosystems. He/she will be working with Salesforce.com as a CRM system for data sources and salesforce reportingWhat’s in it for you:Thrive in a company that truly values a people-first culture. We set high standards and value accountability for all. At the same time, we seek to identify and reward extraordinary performance with growth opportunities. Based on planned growth & initiatives, you have an opportunity to emerge to more specialized roles and act as a resource for the team.Responsibilities:As a Reporting and BI Specialist, CRM Operations, you will:Interpret data, analyze results using analytics, research methodologies, and statistical techniques.Develop and implement data analyses, leverage data collection systems and other strategies that optimize statistically efficiency and quality.Act as a liaison between staff, stakeholders, and management, analyzing and interpreting data involving company procedures, policies, and workflows.Prepare, analyze, and summarize various weekly, monthly, and periodic operational results for use by various key stakeholders, creating reports, specifications, instructions, and flowcharts.Conduct full lifecycle of analytics projects, including pulling, manipulating, and exporting data from project requirements documentation to design and executionEvaluate key performance indicators, provide ongoing reports, and recommend business plan updatesWhat We’re Looking For:We are looking for the person who can provide analytical insights on the complex business problems. The successful candidate will turn data into information, information into insights, and insights into business decisions.Basic Qualifications:Bachelor’s degree, preferably in computer science, mathematics, business management, or economics.Advanced analytical skills with experience collecting, organizing, analyzing, and disseminating abundant information with accuracy.Preferably with 2-5 years of experience in the reporting and data analytics roles. Working knowledge of Salesforce & salesforce reporting. Preference for candidates with Tableau & Power BI experienceExceptional verbal, written, and visual communication skills.Ability to present findings in a polished way.Proficiency with statistics and dataset analytics (using CRM, Excel, and BI Tools)Has an agile mindset and thinks from a business value perspective.Preferred Qualifications:Deep working experience with CRM Tools and advanced BI tools (R script, Power BI, Einstein Analytics, SQL, Excel Macro) is a plus.The ability to present findings in a polished wayProficiency with statistics and dataset analyticsEntrepreneurial mindset, with an innovative approach to business planning#LI-FHAbout Company Statement: S&P Global delivers essential intelligence that powers decision making. We provide the world’s leading organizations with the right data, connected technologies and expertise they need to move ahead. As part of our team, you’ll help solve complex challenges that equip businesses, governments and individuals with the knowledge to adapt to a changing economic landscape. S&P Global Market Intelligence partners with customers to broaden their perspective and operate with confidence by bringing them leading data sources and technologies -----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), SLSGRP202.1 - Middle Professional Tier I (EEO Job Group)","Islamabad, Pakistan",Null,Null
Head Digital Transformation Office,"PSW Digital Transformation OfficePSW has recently launched its Digital Transformation Office to manage and transform the trade ecosystem on a modernized basis. PSW's DTO is a combination of people, processes, metrics, methodologies, and tools, that centrally drives, and manages the diverse set of digital initiatives in the organization.For this purpose, PSW is now looking for a dynamic Head of Transformation office to lead and align PSW's future foresight, evaluate its digital maturity, identify digital opportunities, define a digital transformation roadmap, implement digital initiatives, and harness digital capabilities through robust learning and development programs. The Head of DTO will work as part of the team delivering the Digital Transformation initiatives. They will take responsibility for program delivery and ensure that delivery is underpinned by a professional approach to program and project management, ensuring that activity is being delivered on schedule as per agreed quality standards and within budget. The role will include line management responsibility for the Digital Transformation Office.Responsibilities:Develop the institution's capability to deliver projects by maturing the DTO (Digital Transformation Services) and creating a delivery focal point for project information, progress and expertise.Lead on all PSW’s Programs/Projects w.r.t planning, coordination, collaboration, and monitoring of activities and support alignment of various activities against holistic strategic drivers promoting commonality of approach, process, and documentation.Ensure that deliverables, objectives, and outcomes of the project(s) are achieved as specified, within agreed timelines, as per agreed quality standardsLead project meetings and facilitate workshops as required, producing & presenting written and oral reports/management information to Senior Management and other stakeholders as appropriate.Identify, document, analyze and, if required, challenge internal & external customer requirements, ensuring the project meets business needs / strategic aimsUndertake detailed project planning & documentation (defining project deliverables, success criteria, benefits management, dependencies, change control, risk management) including escalating risks & issues as required.Closely monitor project progress, performance, and quality, including evaluation and benefits realizationManage the operational running and continuous improvement of a Digital Transformation Office, including implementation of PMI standards and best practices and any required resource recruitment and subsequent skills development activities based on business requirements.Be a champion for strategic change. Set up and maintain, in collaboration with other senior Service stakeholders’ processes and documentation of appropriate rigor andFlexibility to enable swift and smooth delivery of change projects including due diligence on downstream support and longer-term operational running of new/updated services.Exercise rigorous change control and guard against scope creep, whilst ensuring means of engagement for future opportunities and appropriate capture are provided.Manage own continuous professional development, internal collaborations and external networks, to contribute to service quality, research excellence and innovation.Work closely with the Senior Management Team to drive forward the department’s value proposition, performance, and reputation, the PSW’s future foresight and subsequent delivery and continuous improvement of PMO processes and wider interactions.Monitor and report progress against plans through regular reviews and maintain close contact with all stakeholders for tracking project implementation, and identification of implementation gaps if any.Create a Center of Excellence in alignment with Project Management Institute (PMI) guidelines, quality standards, and company requirements.Lead and provide guidance to Project Managers for the delivery of projects/programs on time, within scope and on budget.Develop, implement, and govern program management processes, dashboards, templates, policies, and metrics.Monitor compliance with project policies and standards.Interface with executives to define project priorities, implementation opportunities, and challenges and communicate project risks and opportunities.Qualification & Experience:Bachelors or Master’s in Business Administration, Computer Science / Information Technology, Project Management, or any relevant.10+ years of relevant work experience in managing large and complex programs with setting up a Transformation or Project Management office in a public or private sector organization.Strong leadership qualities and organizational skills as well as the ability to adapt quickly to changing priorities, assignments, and roles.Exceptional knowledge of Agile/Scrum/Lean principles and practices.Strong knowledge of SDLC principles and practices.Experience using Click UP/ JIRA / Zoho /Atlassian/ Slack workflow will be preferred.PMP or PgMP is highly desired.Understanding of business processes of cross border trade will be an added advantageExcellent verbal, written, and presentation skills. In particular, a demonstrated ability to effectively communicate technical and business issues and solutions to multiple organizational levels internally and externally as needed to support the strategic goals.Delivering high-profile, approved business transformation projects.","Karachi, Pakistan",Bachelors,10 Years (10+ years of relevant work experience in managing large and complex programs with setting up a Transformation or Project Management office in a public or private sector organization.)
Senior Salesforce Developer,"The Team: Do you love to collaborate & provide solutions? This team comes together across eight different locations every single day to craft enterprise grade applications that serve a large customer base with growing demand and usage. You will use a wide range of technologies and cultivate a collaborative environment with other internal teams.The Role: As a Salesforce Developer with the Order to Cash (OTC) technology team, you will be responsible for developing & providing support across a variety of products within S&P Global. Together, you will build scalable and robust solutions using AGILE development methodologies with a focus on high availability to end users. You will be participating in the software development process (SDLC).The Impact: We focus primarily developing, enhancing, and delivering required pieces of information & functionality to internal & external clients in all client facing applications. You will have a highly visible role where even small changes have very wide impact.What’s in it for you?Opportunities for innovation and learning new state of the art technologiesTo work in pure agile & scrum methodologyOpportunity to work with a team responsible for the architecture, design and development of enterprise domain of our products.Responsibilities:Deliver solutions within a multi-functional Agile teamDevelop expertise in our proprietary enterprise software productsSet and maintain a level of excitement in using various technologies to develop, support, and iteratively deploy real enterprise level softwareAchieve an understanding of customer environments and their use of the productsBuild solutions architecture, algorithms, and designs for solutions that scale to the customer's enterprise/global requirementsApply software engineering practices and implement automations across all elements of solution deliveryWhat we’re looking for:Qualification:6+ years of Salesforce CRM development experience with deep understanding of Object-oriented programming.CRM (Salesforce) Mandatory, Informatica, C#, Asp.net, SQL, REST/Web API, Strong OOP Concepts, Integrated Platforms, Deep understanding of Design Patterns and strong analytical skills.Good experience in Classic/Lightning salesforce development, in both configurations and customizations such as Apex Classes, Apex Triggers, Visual Force Pages, LWC, Integration (both REST & SOAP), batch classes, schedulers.Ability to resolve serious performance related issues through various techniques, including testing, debugging, and profiling.Strong problem solving, analytical and communication skills.Possess a true “roll up the sleeves and get it done” working approach; demonstrated success as a problem solver, operating as a client-focused self-starter.Willing to work in Evening/ Night Shift.Educational Qualifications:Bachelors degree in Computer Science or Computer EngineeringGood to Have:Experience or familiarity with Azure DevOpsProven record of accomplishment in solution focused problem-solving skillsExperience working with globally distributed teams utilizing agile practices.#LI-USA-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), IFTECH202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)","Islamabad, Pakistan",Null,Null
Global Practice Lead - Data Science,"Position Overview Teradata is looking to onboard a Senior Manager role to manage and lead the Data Science teams across GDC Centers. Interested candidates should have strong analytical skills, cross industry business understanding with excellent communication skills and Data warehousing concepts. In addition, the candidate should have prior managerial experience for mentoring and leading large and globally located teams of advance analytics consultants. Job Specification Reporting to Analytics Practice Head, the candidate will manage and lead the data science teams in terms of pre-sales support, delivery engagement and capability development. Pre-sales Support Proactively work with GDC Analytics Practice leadership in developing strong prepositions around Teradata GDC analytics consulting practices and services. Work with Teradata global analytics communities to gain strategy insights, product features and roadmaps for staying ahead in supporting accounts and GTM teams globally. Support global sales and engagement teams in developing Teradata Clearscape analytics value propositions and developing data science solutions architecture. Support and work with Data Science teams to devise and recommend solutions based on the understood requirements. As a GDC focal point, take the responsibility for effort estimations and support the pre-sales lifecycle. Data Science Solutions Delivery Support Support and mentor Teradata GDC Data Science delivery teams in supporting account teams, prospective customers, and global analytics initiatives. Help the team in analyzing and understanding customer requirements through extensive data exploration phases. Support POCs and Pilot Projects to highlight the benefits of Teradata’s driven Advanced Analytics use cases. Exposure to Artificial Intelligence and Deep Learning is a plus Hands on experience over Cloud platform e.g., AWS, Azure or GCP is preferred Strong hands on with data wrangling and crunching to develop the right insights Present findings to IT and Business stakeholders. Actively participate in brain storming sessions to produce viable solutions/analytics. Should have hands on experience with any or few of the tools like SAS, Teradata Vantage, DataIKU, Azure ML, AWS Sage Maker etc., KXEN, SPSS, Python, R etc., to deliver the required analytics solutions Strong analytics skills with business understanding of multiple industries. In depth understanding of Machine Learning concepts and statistical modeling. Data Science Capability Development Responsible Teradata GDC’s Data Science capability frameworks. Ensure that all such capability tools and techniques are up to date w.r.t to Teradata Product roadmap and Analytics industry trends. Develop the learning path, assign learning path to different Data Science roles and support in evaluating the overall ranking in the competency framework. Work with the Analytics Leadership in evaluating the overall team’s performance and develop strategy and initiatives to optimize the data science team in terms of structure, quality, and capability. Leadership skills Identifies and resolves complex multi-dimensional business problems The job requires good investigative skills as well as evaluative judgment based on the analysis of factual and qualitative information in complicated or new situations Jobs possess an elevated level of communication skills including interactive listening in order to influence and negotiate with others External communication is required including an elevated level of tact and diplomacy with internal/external clients, customers, and vendors. Strong story building skills. Communicates complex concepts, anticipates potential objections, and persuades senior leaders to adopt a different point of view May participate in relevant client industry conferences, etc. Impacts the business results of area(s) of responsibility by setting priorities, allocating resources, and developing policies and plans The job has an impact by exercising control over resources, policy formulation and planning The job has primary accountability for the end results of decisions made and executed upon Guided by the broader business organization strategic plans, impacts the department results by supporting and funding of projects, products, services and/or technologies Candidate Profile Minimum Master’s Degree in Data Science, Computer Science, Business Administration or Statistics. Preferably a Post Doctorate in the relevant field 12+ years’ experience in data driven field (e.g., Data Science, DWH, Analytics etc.). 3-4 years of experience in managerial role leading the Data Science or Analytics teams","Islamabad, Pakistan",Doctorate,8 Years - 20 Years
Senior IT Project Manager,"We are currently hiring a Senior Project Manager to work with Client and Engineering Teams and lead high impact projects to ensure that they are delivered on time and within the budgeted cost. Responsibilities Discover and interpret the needs of clients. Consult with client on the proper methodology to achieve their goals. Monitor the work of other Client Services (CS) team members in their efforts to meet client needs. Directly manages all aspects of the project lifecycle and works with matrix IT partners to oversee all Software Development Lifecycle (SDLC) phases of a project. Lead the day-to-day activities of team members, ensure alignment to ERP solution processes/best practices, and work with project managers to develop, establish and maintain project management standards and procedures. Responsible for contributing to the development of detailed project plans; identifying resource needs to support delivery efforts and coordinating the daily activities of the teams in alignment with project plans and client goals. Obtain feedback from clients to ensure that project efforts meet expectations for contracted time, cost and performance. Provide company leadership with feedback once acquired. Responsible for professional development of assigned team members. Perform other duties as assigned. Requirements: Bachelor’s degree in computer science, information technology, or a similar field, with 7+ years of experience. Excellent written and verbal communication skills. Highly organized and able to manage multiple processes. Knowledge of various project management methodologies (e.g., agile/scrum) A project management certification (e.g. PMP) would be a plus. Exemplary core knowledge of and expertise in the use of project management methodologies, tools and processes including Software Development Lifecycle (SDLC) and Agile Framework. Ability to navigate a matrixed organization effectively. Solid influencing skills. Demonstrated, applied experience establishing and delivering large-scale, complex projects.","Islamabad, Faisalabad, Gujranwala, Lahore, Rawalpindi, Gujrat, Pakistan",Bachelors,6 Years - 7 Years
Senior Laravel Developer,"We are seeking an experienced and talented Senior Laravel PHP Developer to join our development team. The ideal candidate will have a strong background in PHP web application development with a focus on the Laravel framework. As a Senior Laravel PHP Developer, you will be responsible for designing, developing, and maintaining high-quality web applications and systems using Laravel. You will work closely with cross-functional teams to deliver scalable and efficient software solutions that meet client requirements and industry best practices.Responsibilities:Develop and maintain robust web applications using PHP and Laravel framework.Collaborate with project stakeholders to gather and analyze requirements, and provide technical guidance and solutions.Design and implement efficient and reusable code, following best practices and coding standards.Conduct code reviews and offer constructive feedback to ensure code quality and adherence to coding standards.Optimize application performance and troubleshoot issues through testing, debugging, and profiling.Participate in project planning, estimation, and delivery activities, ensuring timely and successful project completion.Collaborate with cross-functional teams, including designers, QA engineers, and project managers, to achieve project objectives.Maintain documentation for code, processes, and procedures to ensure knowledge sharing and team efficiency.Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).Extensive experience in PHP web application development, with a strong emphasis on Laravel framework.Proficient in PHP, MySQL, HTML, CSS, JavaScript, and related web technologies.Solid understanding of object-oriented programming principles and design patterns.Experience with front-end frameworks (e.g., Vue.js, React) and proficiency in JavaScript frameworks/libraries is a plus.Familiarity with version control systems (e.g., Git) and agile development methodologies.Strong knowledge of database design, optimization, and performance tuning.Ability to write clean, efficient, and maintainable code, following coding standards and best practices.Excellent problem-solving and analytical skills, with the ability to troubleshoot complex issues.Strong communication and collaboration skills, with the ability to work effectively in a team environment.Ability to handle multiple projects, prioritize tasks, and meet deadlines.","Lahore, Pakistan",Bachelors,5 Years
Senior Unity Game Developer,"As a Senior Unity Developer, you will be responsible for designing, developing, and maintaining high-quality Unity-based applications. You will work closely with the development team and collaborate with designers and artists to create engaging and immersive experiences. Your role will involve leading and mentoring junior developers, participating in code reviews, and contributing to the overall technical strategy of the projects.Responsibilities: Game Development: Design, develop, and optimize Unity-based games and applications using C# and Unity's scripting API.Technical Leadership: Lead and mentor a team of junior developers, providing guidance and support throughout the development process.Collaboration: Collaborate with designers, artists, and other team members to implement game features, mechanics, and visual effects.Code Review: Conduct thorough code reviews to ensure high-quality, maintainable, and efficient code practices.Performance Optimization: Identify and resolve performance bottlenecks, memory leaks, and other technical issues to deliver optimized and smooth gameplay experiences.Prototyping: Rapidly prototype new gameplay ideas and concepts to explore innovative game mechanics and features.Documentation: Create and maintain technical documentation, including design documents, coding standards, and best practices.Research and Development: Stay up-to-date with the latest industry trends, tools, and technologies related to game development and Unity to provide insights and recommendations.Project Management: Collaborate with project managers to define project timelines, milestones, and deliverables, and ensure timely completion of tasks.Quality Assurance: Participate in the testing and debugging process to ensure the quality and stability of the developed applications. Requirements: Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.Extensive experience in Unity game development, including a strong understanding of the Unity engine and its various subsystems.Proficiency in C# programming language and Unity's scripting API.Proven experience in designing and implementing gameplay mechanics, UI/UX systems, and game physics.Strong knowledge of software engineering principles, design patterns, and best practices for maintainable and scalable code.Experience with version control systems, such as Git, for collaborative development.Solid understanding of 3D mathematics, algorithms, and data structures.Excellent problem-solving and debugging skills, with the ability to identify and resolve complex technical issues.Strong communication and interpersonal skills to effectively collaborate with team members and stakeholders.Prior experience in leading and mentoring a team of developers is preferred.Familiarity with agile development methodologies, such as Scrum or Kanban, is a plus.Experience with multiplayer and networking in Unity is a bonus.","Lahore, Pakistan",Bachelors,5 Years
Android Developer,"TechNest is currently hiring an Android Developer to join our team. As an Android Developer, you will work within our team to deliver functional & user-friendly Android applications in a timely manner.Responsibilities: Design and build advanced applications for the Android platform Collaborate with cross-functional teams to define, design, and ship new features Work with outside data sources and APIs Unit-test code for robustness, including edge cases, usability, and general reliability Work on bug fixing and improving application performance Continuously discover, evaluate, and implement new technologies to maximize development efficiency Experience in Ads Monetization networks & Google InApp PurchasesKey Requirements:Degree in Computer Science, Engineering, or a related fieldYou have prior experience as an Android Developer using Kotlin, Java, Android SDK, and Android NDK.Familiarity with RESTful APIs to effectively integrate Android applicationsProficient understanding of code versioning tools such as GitFamiliarity with various testing toolsYou are a problem solver with good analytical skillsExperience: 1 year -2 yearsJob Type: Full timeLocation: Islamabad","Islamabad, Pakistan",Bachelors,1 Year - 2 Years
"Associate Product Owner, Investment Research","The Role: Associate Product Owner, Investment ResearchGrade: (relevant for internal applicants only) 10Location: Islamabad, PKThe Team:We are looking for a talented Associate Product Owner to join our team in building and improving the core dealer-facing components of our Investment Research product. As an Associate Product Owner, you will partner with Product Owners/Managers to define product strategy and requirements and collaborate with stakeholders from other teams, departments, and geographies to drive initiatives forward. You will work closely with your Engineering counterparts and the Design Team to drive product and technical designs, identify technical and business dependencies, and move the product development process forward. You will be the product subject matter expert and collaborate with multiple teams across the organization.Responsibilities:Lead the development and launch of product features with our team of developers, technologies, data scientists, and business owners, driving product development from iterative feature improvement to entirely new productsDetermine, maintain, and prioritize the product backlog, and translate customer requirements into user stories that can be turned into features / products by the technology teamsDefine stories and prioritize the team backlog to streamline the execution of project priorities, while maintaining the vision and integrity of the productCreate a release plan in partnership with stakeholders, engage with Scrum Team on delivery related activities, ensure stories are executed within the overall release plan, and provide clear visibility into work progress across leadership.Build relationships across product, content, and commercial management and key stakeholders to gain buy in and support for additional product and content initiativesWork closely with our Commercial partners to understand client needs and workflows, our competition, and be able to articulate the value proposition of our productsIdentify key opportunities for product improvements, develop short-term preventive or detective measures, and work with our teams to quantitatively evaluate the success and performance of new and existing featuresIntegrate usability studies, research and market analysis into product requirements to enhance user satisfactionKeep abreast of the competitive landscape, industry trends, and digital innovation within the marketplaceWHAT WE ARE LOOKING FOR: Required skills & expertise:1-3 years of product management experience working on web productsStrong knowledge of Agile development framework, with practical experience to support flexible application of principlesStrong conceptual understanding of data, search technologies and taxonomies, web-based user interface design, and API technologiesWorking familiarity with road-mapping and issue tracking software applications, and Microsoft Excel, Microsoft Visual Studio, and SQLA team player who is comfortable working with a globally distributed team across time zones, and a solid communicator, both with technology teams and with non-technical stakeholdersPreferred: BS or experience in finance, mathematics, economics, statistics, computer science, information management or related fieldPREFERRED QUALIFICATIONS: Internship experience in finance, accounting, or related discipline Knowledge of economic and accounting principles and practices, financial markets or reporting of financial data. Previous professional experience with data journalismS&P Global Market IntelligenceAt S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep and insightful. We integrate financial and industry data, research and news into tools that help track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuation and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction.S&P Global Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies and governments to make decisions with confidence. For more information, visit .#LI-FHS&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or any other basis prohibited by federal, state or local law. Only electronic job submissions will be considered for employment.If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.The EEO is the Law Poster http:******************************************** describes discrimination protections under federal law.-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), PDMGDV202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)","Islamabad, Pakistan",Null,Null
Faculty for Computer Science,We are looking for the services of the Faculty for Computer Science.Relevant candidates are encouraged to apply.,"Islamabad, Pakistan",M-Phill,10 Years
